"DNA.1" "DNA.2" "DNA.3" "DNA.4" "DNA.5" "DNA.6" "RNA.1" "RNA.2" "RNA.3" "RNA.4" "RNA.5" "RNA.6" "group" "group2" "group3"
"chr5:89648922-89649322" 3443 2350 2789 3897 4208 3588 3603 3647 1992 1838 2215 3559 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:89838919-89839319" 127 35 60 70 144 113 374 209 201 153 157 270 "d0_noncoding" "Neg" "Neg_1"
"chr5:90765588-90765988" 755 581 628 778 855 673 205 352 133 179 144 225 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:92935140-92935540" 1332 1135 1442 1731 1610 1540 405 466 169 191 191 329 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:93376197-93376597" 2 5 2 4 7 4 5 2 1 2 1 5 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:93430822-93431222" 921 798 811 953 988 893 437 519 200 257 283 321 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:93554095-93554495" 1051 1391 1455 1576 1541 1470 1788 2453 602 647 782 669 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:95139496-95139896" 4897 4737 4832 6027 6047 5149 11983 14041 6597 6644 7000 10069 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:95146812-95147212" 469 376 450 501 573 455 518 697 387 319 320 793 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:96098813-96099213" 490 394 525 594 687 549 312 295 154 121 139 178 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:96959165-96959565" 98 50 105 107 168 118 210 185 117 84 62 212 "d0_noncoding" "Neg" "Neg_1"
"chr6:103853196-103853596" 1502 1114 1261 1624 1947 1482 2770 3214 1392 1327 1081 2486 "d0_noncoding" "Neg" "Neg_1"
"chr6:103982028-103982428" 458 126 226 336 410 348 336 303 219 155 210 287 "d0_noncoding" "Neg" "Neg_1"
"chr6:104320539-104320939" 38 11 12 26 47 48 106 68 54 32 61 88 "d0_noncoding" "Neg" "Neg_1"
"chr6:104451997-104452397" 519 263 349 487 590 496 138 99 76 68 53 64 "d0_noncoding" "Neg" "Neg_1"
"chr6:105185447-105185847" 4037 3096 3859 4558 5689 4521 6758 6736 3693 3588 2777 6972 "d0_noncoding" "Neg" "Neg_1"
"chr6:105535455-105535855" 170 63 84 119 175 133 127 126 44 48 77 84 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:105749034-105749434" 6250 5446 6175 7767 7904 7225 7743 8693 6103 4875 5216 6805 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:105793876-105794276" 293 164 199 272 354 329 378 298 197 187 167 325 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:105807804-105808204" 3858 3451 3755 4539 4286 4008 2281 2895 1350 1115 1116 1355 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:105876063-105876463" 4498 3991 4216 5056 5143 4146 9915 11143 5483 5603 5410 7721 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:106017615-106018015" 254 136 177 196 268 260 372 279 222 178 227 214 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:107061466-107061866" 226 36 118 152 267 215 328 216 176 144 164 241 "d0_noncoding" "Neg" "Neg_1"
"chr6:107062692-107063092" 20 6 14 13 24 11 22 18 10 20 25 17 "d0_noncoding" "Neg" "Neg_1"
"chr6:10734899-10735299" 220 80 133 149 210 201 290 330 156 112 157 280 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:10771525-10771925" 3327 3568 3712 3835 3794 3526 1984 2226 1350 1248 1353 1846 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:108427451-108427851" 143 58 101 146 185 138 106 91 50 75 32 117 "d0_noncoding" "Neg" "Neg_1"
"chr6:108597111-108597511" 5308 4323 4755 5842 6309 5258 4304 5004 2554 2403 2124 3226 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:109669056-109669456" 356 262 335 414 393 369 304 309 135 129 122 233 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:111060017-111060417" 995 930 960 1096 1083 1006 2661 2877 1315 1347 1640 2125 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:112603435-112603835" 1077 642 768 952 1218 1068 977 877 523 467 434 743 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:113465312-113465712" 171 70 105 144 186 188 94 91 63 49 62 46 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:113668620-113669020" 224 51 100 137 259 231 287 187 126 115 117 186 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:113673397-113673797" 667 414 540 694 763 611 2523 2457 1210 1154 1377 1845 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:113677264-113677664" 124 31 60 80 152 101 72 46 43 33 38 43 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:113846281-113846681" 4503 3869 4399 5360 5583 4515 14852 15932 7766 7627 8049 10908 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:113860364-113860764" 243 116 213 205 291 258 272 232 134 114 175 181 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:113885607-113886007" 8167 6551 7546 8927 10330 8533 5222 5770 2884 2234 1727 3553 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:113905961-113906361" 1170 748 930 1192 1290 1075 395 439 205 231 222 357 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:113920624-113921024" 641 549 668 724 870 754 341 366 234 194 214 301 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:113953572-113953972" 540 423 460 616 768 603 324 385 180 123 208 228 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:113957661-113958061" 373 190 236 300 421 370 177 217 82 90 98 190 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:113964198-113964598" 571 219 353 435 688 563 294 240 111 108 167 215 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:113969905-113970305" 117 55 79 87 145 124 32 33 41 19 36 30 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:114063522-114063922" 1173 739 872 1201 1313 1136 775 717 420 360 546 537 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:11596117-11596517" 559 167 369 506 652 559 242 197 141 105 104 247 "d0_noncoding" "Neg" "Neg_1"
"chr6:116727143-116727543" 126 31 83 90 119 107 106 122 120 66 75 142 "d0_noncoding" "Neg" "Neg_1"
"chr6:118857661-118858061" 503 271 412 576 617 533 1128 1205 570 567 681 781 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:118858802-118859202" 205 74 108 119 264 187 251 225 173 190 250 245 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:121828063-121828463" 1198 813 1064 1276 1472 1274 661 674 372 344 451 526 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:121894582-121894982" 250 173 179 255 288 249 28 30 21 11 14 13 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:121987892-121988292" 198 121 169 168 200 182 134 166 58 52 97 80 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:122009270-122009670" 902 903 993 1054 1123 969 440 553 250 255 305 389 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:122069487-122069887" 677 494 619 846 915 799 537 587 319 306 489 395 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:122156843-122157243" 43 32 63 43 58 52 294 186 136 123 148 181 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:122159996-122160396" 2852 2532 2983 3700 3885 2844 5173 6167 3640 3020 3716 4757 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:123627512-123627912" 99 37 69 107 120 106 300 265 207 174 277 355 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:126697834-126698234" 17 16 39 36 23 24 5 9 5 4 1 10 "d0_noncoding" "Neg" "Neg_1"
"chr6:128394555-128394955" 89 16 45 57 87 101 36 55 32 26 33 45 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:128416518-128416918" 286 190 240 331 462 333 71 79 52 48 63 59 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:128523443-128523843" 3035 2204 2561 3337 3660 3269 1006 990 607 530 550 1013 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:128567661-128568061" 549 270 375 490 639 568 196 218 136 117 94 148 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:128600002-128600402" 57 13 36 40 94 72 67 41 30 35 23 46 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:128828771-128829171" 1912 1050 1478 1983 2320 2071 1383 1053 664 633 750 941 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:128922185-128922585" 2725 2116 2635 3204 3521 3198 2051 2318 1203 1082 1050 1288 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:129015454-129015854" 261 189 275 356 431 374 441 447 293 228 239 296 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:130005096-130005496" 1514 1020 1429 1685 2174 1833 671 661 446 315 347 569 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:130050383-130050783" 3078 3074 2934 3934 3611 3587 1140 1348 642 591 710 821 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:130052547-130052947" 1870 1176 1449 1779 2125 1906 1325 1286 680 561 607 1232 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:130053138-130053538" 113 117 103 157 156 178 71 81 32 22 28 57 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:130745840-130746240" 339 271 337 396 451 343 131 135 52 46 64 94 "d0_noncoding" "Neg" "Neg_1"
"chr6:131174675-131175075" 2041 1719 1998 2445 2648 2339 3158 2722 1521 1532 1643 2477 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:131185484-131185884" 7363 8618 7582 9100 8574 7437 8468 10029 4181 4241 4188 5855 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:131254911-131255311" 10817 10178 11124 12597 13175 11241 4074 4920 2450 2273 2410 3010 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:131310121-131310521" 612 409 429 584 594 511 804 1062 523 463 579 721 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:131483182-131483582" 582 410 543 613 801 548 448 548 253 299 203 379 "d0_noncoding" "Neg" "Neg_1"
"chr6:131615248-131615648" 392 316 332 372 378 360 124 158 53 56 62 147 "d0_noncoding" "Neg" "Neg_1"
"chr6:131649858-131650258" 108 72 100 104 141 108 379 376 153 155 197 240 "d0_noncoding" "Neg" "Neg_1"
"chr6:136820469-136820869" 385 194 263 338 389 333 338 436 178 185 230 273 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:138745252-138745652" 1726 1370 1637 1946 2161 1774 34 29 23 26 22 40 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr6:139570486-139570886" 188 67 127 172 244 225 115 91 49 50 33 75 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:139707458-139707858" 1992 730 1209 1576 2239 1915 1832 1390 882 858 917 1706 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:139727735-139728135" 2206 2245 2322 2788 2872 2471 1858 2210 1175 1025 1183 1316 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:14018415-14018815" 3134 2049 2513 3031 3838 3244 364 350 147 248 221 129 "d0_noncoding" "Neg" "Neg_1"
"chr6:14273509-14273909" 322 269 301 391 440 374 140 176 108 94 102 122 "d0_noncoding" "Neg" "Neg_1"
"chr6:14281014-14281414" 2181 1828 2062 2630 2587 2452 811 798 445 369 228 635 "d0_noncoding" "Neg" "Neg_1"
"chr6:14297289-14297689" 419 212 251 363 447 351 221 196 113 115 95 185 "d0_noncoding" "Neg" "Neg_1"
"chr6:143609974-143610374" 53 11 29 33 59 61 15 4 2 6 8 0 "d0_noncoding" "Neg" "Neg_1"
"chr6:14379820-14380220" 957 560 762 924 1172 1069 975 937 540 552 565 673 "d0_noncoding" "Neg" "Neg_1"
"chr6:14380745-14381145" 5766 5296 5508 6547 7037 6339 2133 2463 1279 1168 1101 1956 "d0_noncoding" "Neg" "Neg_1"
"chr6:14381480-14381880" 1254 622 927 1094 1462 1273 4999 4172 2540 2595 3078 3908 "d0_noncoding" "Neg" "Neg_1"
"chr6:144066651-144067051" 5642 3302 4671 5806 7122 6205 2723 2778 1507 1350 1446 2237 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:144068405-144068805" 1394 997 1114 1386 1504 1280 959 968 600 472 722 689 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:144585363-144585763" 277 58 189 204 402 314 258 184 141 102 117 204 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:144586131-144586531" 173 44 74 106 174 158 798 300 404 378 495 677 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:144960802-144961202" 237 70 139 205 269 249 342 296 193 181 152 328 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:145207783-145208183" 418 367 329 505 507 515 144 162 96 66 96 102 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:14640211-14640611" 3996 2546 3302 3908 4503 3931 6142 6069 3880 3635 3653 7643 "d0_noncoding" "Neg" "Neg_1"
"chr6:14798417-14798817" 187 116 136 150 216 146 48 58 39 14 12 65 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:149085781-149086181" 777 441 570 734 888 783 519 500 253 260 224 366 "d0_noncoding" "Neg" "Neg_1"
"chr6:149140040-149140440" 145 30 74 96 148 165 26 8 15 10 7 12 "d0_noncoding" "Neg" "Neg_1"
"chr6:149451594-149451994" 1100 672 1036 1161 1260 1019 1540 1775 921 746 836 1536 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:149461605-149462005" 1290 623 1007 1117 1559 1415 1890 1694 1191 974 920 1327 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:149498096-149498496" 64 18 41 37 64 54 18 28 13 4 14 18 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:15036948-15037348" 3244 3131 3346 3889 4398 3279 6760 6824 4380 4188 3930 5719 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:15090357-15090757" 61 25 55 56 75 41 14 26 9 18 5 13 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:15107530-15107930" 941 458 707 882 1022 1052 329 325 176 195 157 359 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:151408945-151409345" 181 75 101 128 240 176 42 41 21 18 20 51 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:151597526-151597926" 844 485 522 745 968 853 507 513 318 248 288 514 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:151612472-151612872" 2450 2141 2404 2999 2855 2334 1523 1632 749 728 552 1163 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:151628632-151629032" 342 172 239 339 444 373 308 260 166 154 94 224 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:152566099-152566499" 665 528 595 751 791 714 262 286 171 150 191 153 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:152591714-152592114" 235 126 151 209 289 199 236 165 130 90 99 174 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:152634899-152635299" 608 490 611 785 925 669 370 385 166 147 196 250 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:15267393-15267793" 4708 2700 3682 4683 5925 4755 5278 5603 2994 2608 2949 3737 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:152920261-152920661" 942 556 716 1082 1232 987 553 630 360 265 380 369 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:15304149-15304549" 29 24 15 21 47 52 37 23 26 15 20 65 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:15304571-15304971" 139 52 84 151 212 168 514 496 304 221 320 478 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:15343713-15344113" 94 62 95 105 127 111 258 287 189 180 154 231 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:15409469-15409869" 3084 2450 2925 3502 3676 3238 2930 3470 1853 1775 2036 3242 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:15421129-15421529" 799 566 619 811 943 717 324 396 214 218 227 304 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:15431950-15432350" 180 85 152 163 222 178 72 63 45 42 45 63 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:15608605-15609005" 426 152 258 365 544 449 660 516 378 277 329 609 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:156657250-156657650" 1769 1960 1993 2003 1993 1590 625 776 388 334 421 529 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:156878652-156879052" 6034 6864 6653 7662 7808 6533 11601 12656 6466 6601 7362 12963 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:157204674-157205074" 8159 7537 7699 9322 9935 8088 10601 11735 5776 5719 3353 10388 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:157313568-157313968" 1444 770 1156 1354 1901 1469 1950 1806 1217 1116 849 2019 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:157357324-157357724" 11084 9174 10313 13110 13509 11892 7078 8619 4147 4039 4581 5671 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:157508468-157508868" 881 558 673 857 1006 867 389 444 259 173 174 382 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:15793479-15793879" 1508 1332 1510 1956 1903 1726 558 568 295 269 267 376 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:158652627-158653027" 46 45 19 24 45 59 0 5 0 1 2 1 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:158973484-158973884" 747 358 572 747 905 782 390 386 255 189 220 294 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:1597584-1597984" 29 16 26 62 44 30 49 40 38 24 22 44 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:16215773-16216173" 754 434 564 680 840 683 313 333 170 149 104 351 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:16320199-16320599" 14753 16150 16350 19230 18412 15501 4492 5911 3191 2599 2762 3914 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:16352446-16352846" 387 310 376 465 559 401 208 277 121 98 171 221 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:163878880-163879280" 247 217 260 253 361 255 147 165 76 66 77 96 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:163934879-163935279" 3108 2405 3128 3713 3880 3252 5039 5891 3080 2898 2437 5628 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:16402757-16403157" 3279 2689 3164 4085 3871 3474 815 925 449 441 401 683 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:164116053-164116453" 335 69 150 176 394 289 116 96 75 67 90 116 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:1641596-1641996" 1827 1728 1943 2357 2331 1892 3830 4267 2693 2660 2463 4167 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:164198270-164198670" 1667 819 1190 1645 2026 1660 1224 1179 629 626 882 1498 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:164258746-164259146" 3846 4384 3906 4417 4429 3749 825 1238 601 567 542 659 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:164281621-164282021" 1788 1319 1861 2232 2540 1993 907 1031 457 398 377 729 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:164407332-164407732" 7920 7767 7693 8699 8616 7757 13159 15175 7727 7679 5697 12754 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:164519936-164520336" 10000 12674 11876 13610 12062 10678 8382 10150 5304 5011 5645 7612 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:164563708-164564108" 56 23 40 74 66 90 68 58 42 20 22 43 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:16472782-16473182" 1222 606 855 1174 1437 1226 1765 1721 938 882 635 1548 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:166808848-166809248" 5117 2821 4332 5054 6155 5464 7247 6876 4195 3600 2121 6539 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:167157448-167157848" 281 127 234 251 308 243 396 326 163 147 141 385 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:169728521-169728921" 417 201 288 395 504 436 404 343 222 140 159 260 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:170771735-170772135" 15400 12283 14173 17380 18971 16127 8565 8337 5067 4856 1710 10319 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:17418527-17418927" 99 70 120 143 129 124 325 678 249 253 267 481 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:17472863-17473263" 1922 2086 1918 2856 2395 2095 630 688 356 415 406 512 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:1767592-1767992" 287 148 194 274 341 326 724 604 459 446 443 856 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:17865899-17866299" 2187 1660 1902 2409 2441 2487 930 1142 492 466 486 766 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:17876246-17876646" 702 489 599 803 769 798 1748 1824 826 812 732 1062 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:17932725-17933125" 112 65 107 146 181 187 130 121 58 30 64 65 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:17962666-17963066" 929 716 893 951 1111 882 1091 1103 649 572 418 1041 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:17973460-17973860" 33 19 34 29 45 35 47 66 48 24 31 47 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:1884568-1884968" 368 335 380 422 427 430 1311 1358 744 648 612 918 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:20238975-20239375" 828 607 789 758 853 835 21 15 10 14 13 39 "d0_noncoding" "Neg" "Neg_1"
"chr6:20946270-20946670" 82 80 73 153 124 95 418 283 275 187 217 216 "d0_noncoding" "Neg" "Neg_1"
"chr6:21327543-21327943" 1182 915 1164 1358 1527 1352 604 824 356 315 463 557 "d0_noncoding" "Neg" "Neg_1"
"chr6:21386943-21387343" 4230 3986 4205 5165 4848 4353 11568 13205 7121 7025 6568 10790 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:2140655-2141055" 76 28 62 68 56 63 255 216 117 119 129 221 "d0_noncoding" "Neg" "Neg_1"
"chr6:21448226-21448626" 631 253 386 553 703 652 332 313 158 132 102 275 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:21459879-21460279" 1209 962 1041 1231 1374 1253 6375 6430 3362 3127 3547 3772 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:21468688-21469088" 153 63 119 154 237 176 708 590 410 339 261 580 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:27205124-27205524" 183 69 109 149 230 210 181 137 68 41 50 92 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr6:27550754-27551154" 83 45 26 26 98 65 46 12 24 24 4 122 "d0_noncoding" "Neg" "Neg_1"
"chr6:3393171-3393571" 221 132 176 277 287 232 289 319 221 170 213 350 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:35407092-35407492" 1599 1265 1288 1695 1720 1474 2747 2772 1691 1563 1141 3344 "d0_noncoding" "Neg" "Neg_1"
"chr6:35688108-35688508" 26620 28720 29616 34712 37349 30250 34115 36536 20651 21597 11467 35782 "d0_noncoding" "Neg" "Neg_1"
"chr6:3568925-3569325" 220 263 243 271 240 254 169 161 79 60 68 64 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:36019156-36019556" 651 751 740 915 870 776 266 415 201 166 122 320 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:36545152-36545552" 549 247 305 358 532 528 427 299 186 193 114 345 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:36546182-36546582" 775 426 541 758 835 801 473 422 267 217 211 291 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr6:36876457-36876857" 850 721 790 921 1004 795 362 482 206 194 181 213 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
